pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_mass,st_rad,sy_snum,sy_pnum,discoverymethod,disc_year
"HD 2039 b","HD 2039",12.70000000,,1120.00000000000,2.2000000000,210.84,0.3229,5945.00,1.230000,1.190000,1,1,"Radial Velocity",2002
"HAT-P-8 b","HAT-P-8",15.69260000,4.06822400000000e+02,3.07634000000,0.0449600000,1713.00,1519.9645,6200.00,1.270000,1.570000,3,1,"Transit",2008
"K2-43 b","K2-43",4.51000000,,3.47114900000,0.0378400000,939.30,49.0000,3840.60,0.571000,0.542000,1,2,"Transit",2016
"Kepler-1753 b","Kepler-1753",2.22678077,,16.00460052000,0.1179000000,583.00,27.4100,5180.00,0.860000,0.769000,1,1,"Transit",2021
"Kepler-1176 b","Kepler-1176",2.45000000,,24.17385790000,0.1589000000,595.00,26.0870,5844.00,1.010000,1.020000,1,1,"Transit",2016
"K2-126 b","K2-126",1.97000000,,7.38565500000,0.0656000000,601.00,35.3000,4339.00,0.690000,0.650000,1,1,"Transit",2017
"Kepler-1263 b","Kepler-1263",1.14000000,,4.55139967000,0.0499000000,907.00,144.8130,5213.00,0.840000,0.800000,1,1,"Transit",2016
"Kepler-1416 b","Kepler-1416",0.88000000,,1.49514952000,0.0257000000,1870.00,2658.5500,6019.00,1.090000,1.150000,1,1,"Transit",2016
"Kepler-1542 c","Kepler-1542",0.65000000,,2.89223021000,0.0387000000,1287.00,786.0820,5564.00,0.940000,0.990000,1,4,"Transit",2016
"K2-85 b","K2-85",1.40000000,3.20000000000000e+00,0.68453862616,0.0130000000,1355.00,800.0000,4232.00,0.700000,0.710000,1,1,"Transit",2016
"Kepler-368 c","Kepler-368",3.88000000,,72.37933400000,0.3600000000,575.00,28.6810,5502.00,1.165000,2.019000,1,2,"Transit",2014
"K2-123 b","K2-123",2.76000000,,30.95152400000,0.1649000000,338.00,2.9000,4035.00,0.620000,0.590000,1,1,"Transit",2017
"Kepler-770 b","Kepler-770",2.30000000,,18.92540274000,0.1694000000,1171.00,27.7360,5598.00,0.940000,0.920000,1,3,"Transit",2016
"Kepler-1399 b","Kepler-1399",1.25000000,,1.63865305800,0.0276000000,1610.00,1707.2520,5735.00,0.970000,0.960000,1,1,"Transit",2016
"Kepler-723 b","Kepler-723",12.19000000,,4.08227506800,0.0479000000,1016.00,251.4800,5539.00,0.920000,0.890000,1,1,"Transit",2016
"K2-107 b","K2-107",15.98000000,2.66977200000000e+02,3.31395900000,0.0475000000,1649.00,1291.4267,6061.00,1.300000,1.810000,1,1,"Transit",2017
"K2-45 b","K2-45",6.71000000,,1.72926840000,0.0224000000,1073.56,100.0000,4103.00,0.503000,0.445000,1,1,"Transit",2016
"K2-365 b","K2-365",2.90600000,,23.44817200000,,,,5561.00,0.823000,1.051000,1,1,"Transit",2022
"K2-127 b","K2-127",8.37000000,,3.58816300000,0.0411000000,809.00,105.6000,4575.00,0.720000,0.660000,1,1,"Transit",2017
"K2-195 b","K2-195",3.13000000,,15.85297500000,0.1208000000,720.00,66.6667,5713.00,0.940000,0.990000,1,2,"Transit",2018
"K2-80 c","K2-80",1.47000000,,5.60500000000,0.0596000000,1002.42,166.0000,5441.00,0.900000,0.870000,1,3,"Transit",2016
"K2-229 c","K2-229",2.03000000,7.00000000000000e+00,8.32727000000,0.0769000000,750.00,66.0000,5315.00,0.870000,0.790000,1,2,"Transit",2018
"HAT-P-3 b","HAT-P-3",10.53646000,2.06589500000000e+02,2.89970000000,0.0386600000,1189.00,176.5870,5185.00,1.060000,0.870000,2,1,"Transit",2007
"WASP-32 b","WASP-32",10.76064000,8.35892900000000e+02,2.71866000000,0.0394000000,1388.00,616.3300,6140.00,0.720000,0.950000,1,1,"Transit",2010
"WASP-24 b","WASP-24",15.46842000,3.94109200000000e+02,2.34121000000,0.0365100000,1772.00,934.4650,6075.00,1.430000,1.420000,3,1,"Transit",2010
"Kepler-65 c","Kepler-65",2.58000000,5.40000000000000e+00,5.85994400000,0.0680000000,1246.00,609.9920,6211.00,1.250000,1.410000,1,4,"Transit",2012
"TrES-2 b","TrES-2",15.24424000,4.73566700000000e+02,2.47063000000,0.0356800000,1466.00,903.8640,5850.00,1.360000,1.120000,2,1,"Transit",2006
"Kepler-939 b","Kepler-939",1.75000000,,14.87829600000,0.1153000000,692.00,54.1900,5471.00,0.880000,0.850000,1,1,"Transit",2016
